parcela,dia,pendiente dia -15,pendiente dia -10,pendiente dia -5,ndvi,recogido,tmed,prec,precSum3,estacion,pres,estacionPres
22_27_0_1_534_4_1,354,-0.0003094537216376,-0.0002186782166765,-8.331377192303812e-05,0.1863825760853784,1,8.6,0.0,0.0,9898,961.65,9898
22_27_0_1_534_4_1,355,-0.0002753994134413,-0.0001700815821848,-4.098065001552076e-05,0.1863498680439685,0,8.8,0.0,0.0,9898,956.65,9898
22_27_0_1_534_4_1,356,-0.0002384294653148,-0.0001228208531068,-4.136304302843063e-06,0.1862912932092357,0,10.8,0.0,0.0,9898,955.0,9898
22_27_0_1_534_4_1,357,-0.0001996710443788,-7.858678012372943e-05,2.721926521501716e-05,0.1862123403573746,0,11.6,0.0,0.0,9898,955.75,9898
22_27_0_1_534_4_1,358,-0.0001602513177543,-3.902480574366207e-05,5.308605853803772e-05,0.1861184982645802,0,12.0,0.0,0.0,9898,954.55,9898
22_27_0_1_534_4_1,359,-0.0001212974525622,-4.924848128398662e-06,7.34640756662408e-05,0.1860152557070472,0,11.2,0.0,0.0,9898,948.1500000000001,9898
22_27_0_1_534_6_1,340,9.134054863293254e-05,-0.0002609195887648,-0.000494551016486,0.217452446375134,0,4.0,0.8,0.8,9898,950.3,9898
22_27_0_1_534_6_1,341,-3.058291277793409e-05,-0.0003472544372727,-0.0005452972520908,0.2180707652081123,0,9.3,0.4,1.2000000000000002,9898,953.7,9898
22_27_0_1_534_6_1,342,-0.0001382709290275,-0.0004193538406194,-0.0005818080425345,0.2186971239412117,0,7.2,0.0,1.2000000000000002,9898,949.0999999999999,9898
22_27_0_1_534_6_1,343,-0.000231723500116,-0.0004772177988048,-0.000604083387817,0.2193172871292713,0,7.1,10.2,10.6,9898,945.25,9898
22_27_0_1_534_6_1,344,-0.0003109406260433,-0.0005208463118291,-0.0006121232879382,0.2199170193271295,0,11.0,1.8,12.0,9898,949.1,9898
22_27_0_1_534_6_1,345,-0.0003759223068093,-0.0005502393796921,-0.0006059277428983,0.2204820850896256,0,4.2,0.0,12.0,9898,946.75,9898
22_27_0_1_534_6_1,346,-0.0004266685424142,-0.000565397002394,-0.0005854967526971,0.220998248971598,0,1.4,0.8,2.6,9898,952.75,9898
22_27_0_1_534_6_1,347,-0.0004631793328578,-0.0005663191799346,-0.0005508303173347,0.2214512755278857,0,3.8,24.2,25.0,9898,959.6500000000001,9898
22_27_0_1_534_6_1,348,-0.000485492334516,-0.0005530623968777,-0.0005020414059384,0.2218274941589636,0,7.7,7.4,32.4,9898,960.75,9898
22_27_0_1_534_6_1,349,-0.0004943562442658,-0.0005267496985387,-0.0004413761091392,0.2221238998728259,0,11.0,4.6,36.2,9898,962.15,9898
22_27_0_1_534_6_1,350,-0.0004911540328884,-0.0004894555410896,-0.000372983339281,0.2223470017860309,1,10.4,0.2,12.2,9898,962.5,9898
22_27_0_1_534_6_1,351,-0.0004772909113722,-0.0004432877410128,-0.0003010787293286,0.2225036426182412,1,8.6,0.0,4.8,9898,964.25,9898
22_27_0_1_534_6_1,352,-0.0004541720907053,-0.0003903541147907,-0.0002298779122467,0.2226006650891196,1,6.0,0.0,0.2,9898,964.3,9898
22_27_0_1_534_6_1,353,-0.0004232027818761,-0.0003327624789057,-0.000163483551873,0.2226449119183287,1,7.8,0.0,0.0,9898,964.3,9898
22_27_0_1_534_6_1,354,-0.0003857881958728,-0.0002726206498401,-0.000103865190541,0.2226432258255314,1,8.6,0.0,0.0,9898,961.65,9898
22_27_0_1_534_6_1,355,-0.0003433335436837,-0.0002120364440764,-5.1089548871863234e-05,0.2226024495303902,0,8.8,0.0,0.0,9898,956.65,9898
22_27_0_1_534_6_1,356,-0.000297244036297,-0.0001531176780969,-5.156626865338021e-06,0.2225294257525679,0,10.8,0.0,0.0,9898,955.0,9898
22_27_0_1_534_6_1,357,-0.000248924884701,-9.797216838415836e-05,3.3933575478461984e-05,0.2224309972117273,0,11.6,0.0,0.0,9898,955.75,9898
22_27_0_1_534_6_1,358,-0.0001997812998839,-4.865124685674849e-05,6.618105815952014e-05,0.2223140066275311,0,12.0,0.0,0.0,9898,954.55,9898
22_27_0_1_534_6_1,359,-0.0001512184928341,-6.139684681599755e-06,9.158582117789748e-05,0.2221852967196419,0,11.2,0.0,0.0,9898,948.1500000000001,9898
22_27_0_1_534_8_1,340,8.210625589702055e-05,-0.0002345412945762,-0.0004445531904665,0.1813309636143301,0,4.0,0.8,0.8,9898,950.3,9898
22_27_0_1_534_8_1,341,-2.749105955901313e-05,-0.0003121479136573,-0.0004901691131727,0.1818867720158154,0,9.3,0.4,1.2000000000000002,9898,953.7,9898
22_27_0_1_534_8_1,342,-0.000124292096465,-0.0003769582541885,-0.0005229887573289,0.1824498075043569,0,7.2,0.0,1.2000000000000002,9898,949.0999999999999,9898
22_27_0_1_534_8_1,343,-0.0002082968548211,-0.0004289723161697,-0.0005430121229352,0.1830072738014048,0,7.1,10.2,10.6,9898,945.25,9898
22_27_0_1_534_8_1,344,-0.0002795053346273,-0.0004681900996009,-0.0005502392099915,0.183546374628409,0,11.0,1.8,12.0,9898,949.1,9898
22_27_0_1_534_8_1,345,-0.0003379175358834,-0.0004946116044822,-0.0005446700184979,0.1840543137068198,0,4.2,0.0,12.0,9898,946.75,9898
22_27_0_1_534_8_1,346,-0.0003835334585896,-0.0005082368308135,-0.0005263045484542,0.1845182947580869,0,1.4,0.8,2.6,9898,952.75,9898
